Date,World,India
1/22/2020,580,0
1/23/2020,845,0
1/24/2020,1317,0
1/25/2020,2015,0
1/26/2020,2800,0
1/27/2020,4581,0
1/28/2020,6058,0
1/29/2020,7813,0
1/30/2020,9823,1
1/31/2020,11950,1
2/1/2020,14553,1
2/2/2020,17391,2
2/3/2020,20630,3
2/4/2020,24545,3
2/5/2020,28266,3
2/6/2020,31439,3
2/7/2020,34876,3
2/8/2020,37552,3
2/9/2020,40553,3
2/10/2020,43099,3
2/11/2020,45134,3
2/12/2020,59287,3
2/13/2020,64438,3
2/14/2020,67100,3
2/15/2020,69197,3
2/16/2020,71329,3
2/17/2020,73332,3
2/18/2020,75184,3
2/19/2020,75700,3
2/20/2020,76677,3
2/21/2020,77673,3
2/22/2020,78651,3
2/23/2020,79205,3
2/24/2020,80087,3
2/25/2020,80828,3
2/26/2020,81820,3
2/27/2020,83112,3
2/28/2020,84615,3
2/29/2020,86604,3
3/1/2020,88585,3
3/2/2020,90443,6
3/3/2020,93016,9
3/4/2020,95314,32
3/5/2020,98425,33
3/6/2020,102050,34
3/7/2020,106099,37
3/8/2020,109991,43
3/9/2020,114381,50
3/10/2020,118948,65
3/11/2020,126214,65
3/12/2020,134576,77
3/13/2020,145483,85
3/14/2020,156653,100
3/15/2020,169593,110
3/16/2020,182490,114
3/17/2020,198238,140
3/18/2020,218822,170
3/19/2020,244933,198
3/20/2020,275597,249
3/21/2020,305036,329
3/22/2020,337489,391
3/23/2020,378860,468
