Line1,Line2,Line3,Line4,Line5,Line6,Total
DESCOVY+ISENTRESS,,,,,,136
DESCOVY+ISENTRESS,DESCOVY,,,,,9
DESCOVY+ISENTRESS,ISENTRESS,,,,,3
DESCOVY+ISENTRESS,BIKTARVY,,,,,3
DESCOVY+ISENTRESS,GENVOYA,,,,,3
DESCOVY+ISENTRESS,TRIUMEQ,,,,,2
DESCOVY+ISENTRESS,DESCOVY+PREZCOBIX,,,,,2
DESCOVY+ISENTRESS,ISENTRESS+LAMIVUDINE+PIFELTRO,ISENTRESS+PIFELTRO+ZIAGEN,,,,1
DESCOVY+ISENTRESS,ODEFSEY+TIVICAY,TIVICAY,,,,1
DESCOVY+ISENTRESS,ODEFSEY,,,,,1
DESCOVY+ISENTRESS,JULUCA,,,,,1
DESCOVY+ISENTRESS,ISENTRESS+TRUVADA,,,,,1
DESCOVY+ISENTRESS,ISENTRESS+TRUVADA,JULUCA,,,,1
DESCOVY+ISENTRESS,ISENTRESS+ODEFSEY,ODEFSEY,,,,1
DESCOVY+ISENTRESS,DESCOVY+EDURANT+TIVICAY,,,,,1
DESCOVY+ISENTRESS,DESCOVY+ISENTRESS+PREZCOBIX,EDURANT+PREZCOBIX+TIVICAY,,,,1
DESCOVY+ISENTRESS,ISENTRESS,DESCOVY,,,,1
DESCOVY+ISENTRESS,DESCOVY,DESCOVY+ISENTRESS+PREZCOBIX,,,,1
DESCOVY+ISENTRESS,DESCOVY+TIVICAY,TIVICAY,,,,1
DESCOVY+ISENTRESS,DESCOVY+TIVICAY,EDURANT,EDURANT+TIVICAY,,,1
DESCOVY+ISENTRESS,DESCOVY+PREZCOBIX+TIVICAY,,,,,1
DESCOVY+ISENTRESS,DESCOVY+ISENTRESS+PREZCOBIX,,,,,1
DESCOVY+ISENTRESS,DESCOVY,ISENTRESS,,,,1
