Line1,Line2,Line3,Line4,Line5,Line6,Total
ATRIPLA+ISENTRESS,,,,,,1
DESCOVY+EDURANT+ISENTRESS+LAMIVUDINE,EDURANT+ISENTRESS+LAMIVUDINE,JULUCA+LAMIVUDINE,JULUCA,,,1
DESCOVY+INTELENCE+ISENTRESS,INTELENCE,,,,,1
DESCOVY+INTELENCE+ISENTRESS,,,,,,2
DESCOVY+INTELENCE+ISENTRESS+NORVIR+PREZISTA,,,,,,2
DESCOVY+INVIRASE+ISENTRESS+NORVIR,,,,,,1
DESCOVY+ISENTRESS,BIKTARVY,,,,,3
DESCOVY+ISENTRESS,DESCOVY,DESCOVY+ISENTRESS+PREZCOBIX,,,,1
DESCOVY+ISENTRESS,DESCOVY,ISENTRESS,,,,1
DESCOVY+ISENTRESS,DESCOVY,,,,,9
DESCOVY+ISENTRESS,DESCOVY+EDURANT+TIVICAY,,,,,1
DESCOVY+ISENTRESS,DESCOVY+ISENTRESS+PREZCOBIX,EDURANT+PREZCOBIX+TIVICAY,,,,1
DESCOVY+ISENTRESS,DESCOVY+ISENTRESS+PREZCOBIX,,,,,1
DESCOVY+ISENTRESS,DESCOVY+PREZCOBIX,,,,,2
DESCOVY+ISENTRESS,DESCOVY+PREZCOBIX+TIVICAY,,,,,1
DESCOVY+ISENTRESS,DESCOVY+TIVICAY,EDURANT,EDURANT+TIVICAY,,,1
DESCOVY+ISENTRESS,DESCOVY+TIVICAY,TIVICAY,,,,1
DESCOVY+ISENTRESS,GENVOYA,,,,,3
DESCOVY+ISENTRESS,ISENTRESS,DESCOVY,,,,1
DESCOVY+ISENTRESS,ISENTRESS,,,,,3
DESCOVY+ISENTRESS,ISENTRESS+LAMIVUDINE+PIFELTRO,ISENTRESS+PIFELTRO+ZIAGEN,,,,1
DESCOVY+ISENTRESS,ISENTRESS+ODEFSEY,ODEFSEY,,,,1
DESCOVY+ISENTRESS,ISENTRESS+TRUVADA,JULUCA,,,,1
DESCOVY+ISENTRESS,ISENTRESS+TRUVADA,,,,,1
DESCOVY+ISENTRESS,JULUCA,,,,,1
DESCOVY+ISENTRESS,ODEFSEY,,,,,1
DESCOVY+ISENTRESS,ODEFSEY+TIVICAY,TIVICAY,,,,1
DESCOVY+ISENTRESS,TRIUMEQ,,,,,2
DESCOVY+ISENTRESS,,,,,,136
DESCOVY+ISENTRESS+KALETRA,,,,,,1
DESCOVY+ISENTRESS+NORVIR+PREZISTA,DESCOVY+ISENTRESS+PREZISTA,DESCOVY+ISENTRESS+NORVIR,,,,1
DESCOVY+ISENTRESS+NORVIR+PREZISTA,DESCOVY+TIVICAY,DESCOVY+ISENTRESS,,,,1
DESCOVY+ISENTRESS+NORVIR+PREZISTA,ISENTRESS+NORVIR+PREZISTA,ISENTRESS+PREZCOBIX+PREZISTA,DESCOVY+PREZCOBIX+PREZISTA,PREZCOBIX,ISENTRESS+PREZCOBIX,1
DESCOVY+ISENTRESS+NORVIR+PREZISTA,,,,,,3
DESCOVY+ISENTRESS+NORVIR+PREZISTA+REYATAZ,,,,,,1
DESCOVY+ISENTRESS+NORVIR+REYATAZ,,,,,,2
DESCOVY+ISENTRESS+ZIDOVUDINE,DESCOVY+ISENTRESS,,,,,1
EDURANT+EMTRIVA+ISENTRESS,EDURANT+EMTRIVA,ISENTRESS,,,,1
EDURANT+ISENTRESS,ISENTRESS+PREZCOBIX+VIREAD,,,,,1
EMTRIVA+INTELENCE+ISENTRESS,,,,,,1
EMTRIVA+ISENTRESS+VIREAD,,,,,,1
EPIVIR+ISENTRESS,VIREAD,,,,,1
EPZICOM+ISENTRESS,EPZICOM,ISENTRESS,,,,2
EPZICOM+ISENTRESS,ISENTRESS,EPZICOM,,,,1
EPZICOM+ISENTRESS,TRIUMEQ,,,,,2
EPZICOM+ISENTRESS,,,,,,6
EVOTAZ+INTELENCE+ISENTRESS,,,,,,1
INTELENCE+ISENTRESS,INTELENCE+ISENTRESS+NORVIR+PREZISTA,NORVIR+PREZISTA,INTELENCE+NORVIR+PREZISTA,,,1
INTELENCE+ISENTRESS,,,,,,2
INTELENCE+ISENTRESS+LAMIVUDINE,JULUCA,,,,,1
INTELENCE+ISENTRESS+LAMIVUDINE+VIREAD,,,,,,1
INTELENCE+ISENTRESS+NORVIR+PREZISTA,INTELENCE+ISENTRESS+PREZISTA,GENVOYA,,,,1
INTELENCE+ISENTRESS+NORVIR+PREZISTA,,,,,,5
INTELENCE+ISENTRESS+NORVIR+PREZISTA+VIREAD,INTELENCE+ISENTRESS+PREZISTA+VIREAD,ISENTRESS+NORVIR+PREZISTA+VIREAD,DESCOVY+INTELENCE+ISENTRESS+NORVIR+PREZISTA,INTELENCE+ISENTRESS+NORVIR+PREZISTA,,1
INTELENCE+ISENTRESS+REYATAZ,,,,,,1
INTELENCE+ISENTRESS+VIREAD,ISENTRESS+VIREAD,VIREAD,ISENTRESS,INTELENCE+VIREAD,,1
ISENTRESS,INTELENCE+ISENTRESS+NORVIR+PREZISTA,INTELENCE+NORVIR,ISENTRESS+PREZISTA,ISENTRESS+LAMIVUDINE+NORVIR+PREZISTA,,1
ISENTRESS,,,,,,11
ISENTRESS+KALETRA,JULUCA,,,,,2
ISENTRESS+KALETRA,,,,,,3
ISENTRESS+KALETRA+TRUVADA,,,,,,1
ISENTRESS+LAMIVUD/ZIDOV,ISENTRESS,,,,,1
ISENTRESS+LAMIVUD/ZIDOV,,,,,,3
ISENTRESS+LAMIVUD/ZIDOV+NORVIR+PREZISTA,,,,,,1
ISENTRESS+LAMIVUDINE,,,,,,1
ISENTRESS+LAMIVUDINE+NORVIR+ZIDOVUDINE,,,,,,1
ISENTRESS+LAMIVUDINE+PREZCOBIX,,,,,,1
ISENTRESS+LAMIVUDINE+SUSTIVA,SUSTIVA,ISENTRESS+LAMIVUDINE,LAMIVUDINE,,,1
ISENTRESS+LAMIVUDINE+VIREAD,,,,,,3
ISENTRESS+LAMIVUDINE+ZIAGEN,EDURANT+ISENTRESS+LAMIVUDINE+ZIAGEN,EDURANT+ISENTRESS,,,,1
ISENTRESS+LAMIVUDINE+ZIAGEN,ISENTRESS+ZIAGEN,,,,,1
ISENTRESS+LAMIVUDINE+ZIDOVUDINE,,,,,,5
ISENTRESS+NORVIR+PREZISTA,ISENTRESS+PREZISTA,NORVIR,,,,1
ISENTRESS+NORVIR+PREZISTA,ISENTRESS+PREZISTA,,,,,1
ISENTRESS+NORVIR+PREZISTA,,,,,,4
ISENTRESS+NORVIR+PREZISTA+SELZENTRY,,,,,,1
ISENTRESS+NORVIR+PREZISTA+TRUVADA,DESCOVY+ISENTRESS+NORVIR,DESCOVY+ISENTRESS+NORVIR+PREZISTA,DESCOVY+ISENTRESS,,,1
ISENTRESS+NORVIR+PREZISTA+TRUVADA,,,,,,1
ISENTRESS+NORVIR+PREZISTA+VIREAD,,,,,,3
ISENTRESS+NORVIR+PREZISTA+ZIAGEN,,,,,,1
ISENTRESS+NORVIR+REYATAZ,ISENTRESS+LAMIVUD/ZIDOV+NORVIR+REYATAZ,BIKTARVY,,,,1
ISENTRESS+NORVIR+REYATAZ,TRIUMEQ,,,,,1
ISENTRESS+NORVIR+REYATAZ+SELZENTRY,,,,,,1
ISENTRESS+NORVIR+REYATAZ+VIREAD,,,,,,1
ISENTRESS+NORVIR+REYATAZ+ZIAGEN,ISENTRESS+NORVIR+REYATAZ,,,,,1
